Version,Family,Scientific name,Previously,As of the stated version,Date
1.3,Fabaceae,Lotus purshianus,Accepted,Synonym of Acmispon americanus,8/14/2013
1.3,Fabaceae,Lotus purshianus var. purshianus,Accepted,Synonym of Acmispon americanus var. americanus,8/14/2013
1.3,Fabaceae,Lotus stipularis,Accepted,Synonym of Hosackia stipularis,8/14/2013
1.3,Fabaceae,Lotus stipularis var. ottleyi,Accepted,Synonym of Hosackia stipularis var. ottleyi,8/14/2013
1.3,Fabaceae,Lotus wrangelianus,Accepted,Synonym of Acmispon wrangelianus,8/14/2013
1.3,Fabaceae,Lupinus argenteus var. heteranthus × Lupinus biddlei,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Lupinus latifolius × Lupinus sericeus,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Lupinus latifolius var. latifolius × Lupinus sericeus,Accepted,Synonym of Lupinus latifolius × Lupinus sericeus,8/14/2013
1.3,Fabaceae,Lupinus latifolius var. subalpinus × Lupinus sericeus,Accepted,Synonym of Lupinus latifolius × Lupinus sericeus,8/14/2013
1.3,Fabaceae,Medicago turbinata,Under evaluation,Accepted,8/14/2013
1.3,Fabaceae,Ononis arvensis,Under evaluation,Accepted,8/14/2013
1.3,Fagaceae,Quercus palustris,Under evaluation,Accepted,8/14/2013
1.3,Fagaceae,Quercus vaccinifolia,Accepted,Synonym of Quercus vacciniifolia,8/14/2013
1.3,Fagaceae,Quercus vacciniifolia,Under evaluation,Accepted,8/14/2013
1.3,Gentianaceae,Centaurium pulchellum,Accepted,Excluded,8/14/2013
1.3,Gentianaceae,Comastoma tenellum,Under evaluation,Accepted,8/14/2013
1.3,Hypericaceae,Hypericum humifusum,Under evaluation,Accepted,8/14/2013
1.3,Iridaceae,Romulea rosea var. australis,Under evaluation,Accepted,8/14/2013
1.3,Juglandaceae,Juglans hindsii × Juglans regia,Under evaluation,Accepted,8/14/2013
1.3,Juncaceae,Juncus ambiguus,Misapplied to Juncus ambiguus,Accepted,8/14/2013
1.3,Juncaceae,Juncus anthelatus,Under evaluation,Accepted,8/14/2013
1.3,Juncaceae,Juncus brachyphyllus,Accepted,Synonym of Juncus trilocularis,8/14/2013
1.3,Juncaceae,Juncus diffusissimus,Under evaluation,Accepted,8/14/2013
1.3,Juncaceae,Juncus gerardii,Accepted (terminal),Accepted (not terminal),8/14/2013
1.3,Juncaceae,Juncus gerardii ssp. gerardii,Under evaluation,Accepted,8/14/2013
1.3,Juncaceae,Juncus lescurii,Synonym of Juncus breweri,Accepted,8/14/2013
1.3,Juncaceae,Juncus mexicanus,Excluded,Accepted,8/14/2013
1.3,Juncaceae,Juncus trilocularis,Under evaluation,Accepted,8/14/2013
1.3,Juncaceae,Luzula campestris,Accepted (terminal),Accepted (not terminal),8/14/2013
1.3,Juncaceae,Luzula campestris ssp. campestris,Synonym of Luzula campestris,Accepted,8/14/2013
1.3,Juncaceae,Luzula forsteri,Accepted (terminal),Accepted (not terminal),8/14/2013
1.3,Juncaceae,Luzula forsteri ssp. forsteri,Under evaluation,Accepted,8/14/2013
1.3,Juncaceae,Luzula multiflora,Accepted (not terminal),Accepted (terminal),8/14/2013
1.3,Juncaceae,Luzula multiflora ssp. multiflora,Accepted,Synonym of Luzula multiflora,8/14/2013
1.3,Juncaceae,Luzula spicata,Accepted (terminal),Accepted (not terminal),8/14/2013
1.3,Juncaceae,Luzula spicata ssp. spicata,Under evaluation,Accepted,8/14/2013
1.3,Lamiaceae,Monardella odoratissima,Ambiguous,Accepted,8/14/2013
1.3,Lentibulariaceae,Pinguicula macroceras,Under evaluation,Accepted,8/14/2013
1.3,Lentibulariaceae,Pinguicula vulgaris ssp. macroceras,Accepted,Synonym of Pinguicula macroceras,8/14/2013
1.3,Lentibulariaceae,Utricularia macrorhiza,Accepted,Synonym of Utricularia vulgaris L. ssp. macrorhiza,8/14/2013
1.3,Lentibulariaceae,Utricularia vulgaris,Synonym of Utricularia macrorhiza,Accepted,8/14/2013
1.3,Lentibulariaceae,Utricularia vulgaris ssp. macrorhiza,Under evaluation,Accepted,8/14/2013
1.3,Liliaceae,Calochortus amabilis,Under evaluation,Accepted,8/14/2013
1.3,Liliaceae,Calochortus coeruleus,Under evaluation,Accepted,8/14/2013
1.3,Liliaceae,Erythronium multiscapideum,Under evaluation,Accepted,8/14/2013
1.3,Liliaceae,Lilium parvum,Accepted,Excluded,8/14/2013
1.3,Liliaceae,Lilium rubescens,Accepted,Excluded,8/14/2013
1.3,Liliaceae,Lilium washingtonianum,Accepted (not terminal),Accepted (terminal),8/14/2013
1.3,Liliaceae,Lilium washingtonianum ssp. purpurascens,Synonym of Lilium washingtonianum,Accepted,8/14/2013
1.3,Limnanthaceae,Limnanthes alba ssp. alba,Synonym of Limnanthes alba ssp. alba × Limnanthes alba ssp. versicolor,Accepted,8/14/2013
1.3,Limnanthaceae,Limnanthes alba ssp. alba × Limnanthes alba ssp. versicolor,Accepted,Synonym of Limnanthes alba ssp. alba,8/14/2013
1.3,Lycopodiaceae,Diphasiastrum complanatum,Synonym of Lycopodium complanatum,Accepted,8/14/2013
1.3,Lycopodiaceae,Diphasiastrum sitchense,Synonym of Lycopodium sitchense,Accepted,8/14/2013
1.3,Lycopodiaceae,Lycopodium complanatum,Accepted,Synonym of Diphasiastrum complanatum,8/14/2013
1.3,Lycopodiaceae,Lycopodium sitchense,Accepted,Synonym of Diphasiastrum sitchense,8/14/2013
1.3,Menyanthaceae,Fauria crista-galli,Accepted,Synonym of Nephrophyllidium crista-galli ssp. crista-galli,8/14/2013
1.3,Menyanthaceae,Nephrophyllidium crista-galli,Synonym of Fauria crista-galli,Accepted,8/14/2013
1.3,Menyanthaceae,Nephrophyllidium crista-galli ssp. crista-galli,Under evaluation,Accepted,8/14/2013
1.3,Oleaceae,Ligustrum sinense,Under evaluation,Accepted,8/14/2013
1.3,Onagraceae,Camissonia pubens,Accepted,Excluded,8/14/2013
1.3,Onagraceae,Chylismia walkeri,Accepted,Excluded,8/14/2013
1.3,Onagraceae,Chylismia walkeri ssp. tortilis,Accepted,Excluded,8/14/2013
1.3,Onagraceae,Clarkia unguiculata,Under evaluation,Accepted,8/14/2013
1.3,Onagraceae,Epilobium canum ssp. canum,Accepted,Excluded,8/14/2013
1.3,Onagraceae,Epilobium halleanum,Accepted,Synonym of Epilobium hallianum,8/14/2013
1.3,Onagraceae,Epilobium hallianum,Under evaluation,Accepted,8/14/2013
1.3,Onagraceae,Oenothera caespitosa,Accepted,Synonym of Oenothera cespitosa,8/14/2013
1.3,Onagraceae,Oenothera caespitosa ssp. caespitosa,Accepted,Synonym of Oenothera cespitosa ssp. cespitosa,8/14/2013
1.3,Onagraceae,Oenothera caespitosa ssp. marginata,Accepted,Synonym of Oenothera cespitosa ssp. marginata,8/14/2013
1.3,Onagraceae,Oenothera cespitosa,Synonym of Oenothera caespitosa,Accepted,8/14/2013
1.3,Onagraceae,Oenothera cespitosa ssp. cespitosa,Synonym of Oenothera caespitosa ssp. caespitosa,Accepted,8/14/2013
1.3,Onagraceae,Oenothera cespitosa ssp. marginata,Synonym of Oenothera caespitosa ssp. marginata,Accepted,8/14/2013
1.3,Onagraceae,Taraxia breviflora,Accepted,Synonym of Taraxia tanacetifolia,8/14/2013
1.3,Onagraceae,Taraxia tanacetifolia,Accepted (not terminal),Accepted (terminal),8/14/2013
1.3,Onagraceae,Taraxia tanacetifolia ssp. tanacetifolia,Accepted,Synonym of Taraxia tanacetifolia,8/14/2013
1.3,Onagraceae,Tetrapteron graciliflora,Accepted,Synonym of Tetrapteron graciliflorum,8/14/2013
1.3,Onagraceae,Tetrapteron graciliflorum,Under evaluation,Accepted,8/14/2013
1.3,Ophioglossaceae,Botrychium michiganense,Accepted,Excluded,8/14/2013
1.3,Orchidaceae,Listera banksiana,Under evaluation,Accepted,8/14/2013
1.3,Orchidaceae,Listera caurina,Accepted,Synonym of Listera banksiana,8/14/2013
1.3,Orobanchaceae,Castilleja rubicundula,Accepted,Excluded,8/14/2013
1.3,Orobanchaceae,Castilleja rubicundula ssp. lithospermoides,Accepted,Excluded,8/14/2013
1.3,Oxalidaceae,Oxalis articulata,Under evaluation,Accepted,8/14/2013
1.3,Oxalidaceae,Oxalis rubra,Under evaluation,Accepted,8/14/2013
1.3,Pinaceae,Pinus monophylla,Under evaluation,Accepted,8/14/2013
1.3,Plantaginaceae,Callitriche fassettii,Misapplied to Callitriche hermaphroditica,Accepted,8/14/2013
1.3,Plantaginaceae,Callitriche hermaphroditica,Accepted,Synonym of Callitriche fassettii,8/14/2013
1.3,Plantaginaceae,Nuttallanthus canadensis,Accepted,Excluded,8/14/2013
1.3,Plantaginaceae,Penstemon janishiae,Accepted,Excluded,8/14/2013
1.3,Poaceae,Poa interior,Accepted,Excluded,8/14/2013
1.3,Polygonaceae,Fallopia baldschuanica,Under evaluation,Accepted,8/14/2013
1.3,Polygonaceae,Polygonum alpinum,Accepted,Excluded,8/14/2013
1.3,Polygonaceae,Polygonum ramosissimum,Accepted (terminal),Accepted (not terminal),8/14/2013
1.3,Polygonaceae,Polygonum ramosissimum ssp. ramosissimum,Under evaluation,Accepted,8/14/2013
1.3,Polygonaceae,Polygonum spergulariaeforme,Accepted,Synonym of Polygonum spergulariiforme,8/14/2013
1.3,Polygonaceae,Polygonum spergulariiforme,Under evaluation,Accepted,8/14/2013
1.3,Potamogetonaceae,Potamogeton berchtoldii,Synonym of Potamogeton pusillus ssp. tenuissimus,Accepted,8/14/2013
1.3,Potamogetonaceae,Potamogeton filiformis,Accepted,Synonym of Stuckenia filiformis,8/14/2013
1.3,Potamogetonaceae,Potamogeton filiformis var. alpinus,Accepted,Synonym of Stuckenia filiformis ssp. alpina,8/14/2013
1.3,Potamogetonaceae,Potamogeton filiformis var. occidentalis,Accepted,Synonym of Stuckenia filiformis ssp. occidentalis,8/14/2013
1.3,Potamogetonaceae,Potamogeton pectinatus,Accepted,Synonym of Stuckenia pectinata,8/14/2013
1.3,Potamogetonaceae,Potamogeton pusillus ssp. tenuissimus,Accepted,Synonym of Potamogeton berchtoldii,8/14/2013
1.3,Potamogetonaceae,Potamogeton striatus,Accepted,Synonym of Stuckenia striata,8/14/2013
1.3,Potamogetonaceae,Potamogeton vaginatus,Accepted,Excluded,8/14/2013
1.3,Potamogetonaceae,Stuckenia filiformis,Synonym of Potamogeton filiformis,Accepted,8/14/2013
1.3,Potamogetonaceae,Stuckenia filiformis ssp. alpina,Synonym of Potamogeton filiformis var. alpinus,Accepted,8/14/2013
1.3,Potamogetonaceae,Stuckenia filiformis ssp. occidentalis,Synonym of Potamogeton filiformis var. occidentalis,Accepted,8/14/2013
1.3,Potamogetonaceae,Stuckenia pectinata,Synonym of Potamogeton pectinatus,Accepted,8/14/2013
1.3,Potamogetonaceae,Stuckenia striata,Synonym of Potamogeton striatus,Accepted,8/14/2013
1.3,Ranunculaceae,Ceratocephala testiculata,Synonym of Ranunculus testiculatus,Accepted,8/14/2013
1.3,Ranunculaceae,Consolida ajacis,Accepted,Synonym of Delphinium ajacis,8/14/2013
1.3,Ranunculaceae,Delphinium ajacis,Synonym of Consolida ajacis,Accepted,8/14/2013
1.3,Ranunculaceae,Enemion occidentale,Under evaluation,Accepted,8/14/2013
1.3,Ranunculaceae,Ranunculus testiculatus,Accepted,Synonym of Ceratocephala testiculata,8/14/2013
1.3,Ranunculaceae,Trollius albiflorus,Synonym of Trollius laxus var. albiflorus,Accepted,8/14/2013
1.3,Ranunculaceae,Trollius laxus,Accepted,Synonym of Trollius albiflorus,8/14/2013
1.3,Ranunculaceae,Trollius laxus var. albiflorus,Accepted,Synonym of Trollius albiflorus,8/14/2013
1.3,Rhamnaceae,Rhamnus californica ssp. tomentella,Under evaluation,Accepted,8/14/2013
1.3,Rosaceae,Aphanes australis,Under evaluation,Accepted,8/14/2013
1.3,Rosaceae,Crataegus gaylussacia,Under evaluation,Accepted,8/14/2013
1.3,Rosaceae,Crataegus suksdorfii,Accepted,Synonym of Crataegus gaylussacia,8/14/2013
1.3,Rosaceae,Fragaria cascadensis,Under evaluation,Accepted,8/14/2013
1.3,Rosaceae,Horkelia tridentata ssp. tridentata,Accepted,Synonym of Horkelia tridentata var. tridentata,8/14/2013
1.3,Rosaceae,Horkelia tridentata var. tridentata,Under evaluation,Accepted,8/14/2013
1.3,Rosaceae,Pyrus pyrifolia,Accepted,Excluded,8/14/2013
1.3,Rosaceae,Rosa ×harisonii,Under evaluation,Accepted,8/14/2013
1.3,Rosaceae,Rosa nutkana var. muriculata,Accepted,Synonym of Rosa nutkana var. nutkana,8/14/2013
1.3,Rubiaceae,Crucianella angustifolia,Under evaluation,Accepted,8/14/2013
1.3,Rubiaceae,Galium trifidum,Accepted (not terminal),Accepted (terminal),8/14/2013
1.3,Rubiaceae,Galium trifidum var. pacificum,Accepted,Synonym of Galium trifidum,8/14/2013
1.3,Salicaceae,Salix columbiana,Accepted,Synonym of Salix exigua var. columbiana,8/14/2013
1.3,Salicaceae,Salix exigua ssp. exigua,Accepted,Synonym of Salix exigua var. exigua,8/14/2013
1.3,Salicaceae,Salix exigua var. columbiana,Synonym of Salix columbiana,Accepted,8/14/2013
1.3,Salicaceae,Salix exigua var. exigua,Synonym of Salix exigua ssp. exigua,Accepted,8/14/2013
1.3,Salicaceae,Salix exigua var. sessilifolia,Under evaluation,Accepted,8/14/2013
1.3,Salicaceae,Salix lucida,Accepted,Synonym/Accepted,8/14/2013
1.3,Salicaceae,Salix lucida,Synonym of Salix lasiandra var. lasiandra,Accepted,8/14/2013
1.3,Salicaceae,Salix purpurea,Accepted,Excluded,8/14/2013
1.3,Salicaceae,Salix sessilifolia,Accepted,Synonym of Salix exigua var. sessilifolia,8/14/2013
1.3,Salviniaceae,Azolla mexicana,Accepted,Synonym of Azolla microphylla,8/14/2013
1.3,Salviniaceae,Azolla microphylla,Under evaluation,Accepted,8/14/2013
1.3,Sapindaceae,Acer ginnala,Under evaluation,Accepted,8/14/2013
1.3,Sapindaceae,Acer pseudoplatanus,Under evaluation,Accepted,8/14/2013
1.3,Scrophulariaceae,Limosella acaulis,Accepted,Excluded,8/14/2013
1.3,Solanaceae,Solanum physalifolium,Accepted (terminal),Accepted (not terminal),8/14/2013
1.3,Styracaceae,Styrax officinalis,Accepted,Synonym of Styrax redivivus,8/14/2013
1.3,Styracaceae,Styrax officinalis var. redivivus,Accepted,Synonym of Styrax redivivus,8/14/2013
1.3,Styracaceae,Styrax redivivus,Under evaluation,Accepted,8/14/2013
1.3,Tamaricaceae,Tamarix chinensis,Accepted,Synonym of Tamarix chinensis × Tamarix ramosissima,8/14/2013
1.3,Tamaricaceae,Tamarix chinensis × Tamarix ramosissima,Under evaluation,Accepted,8/14/2013
1.3,Tamaricaceae,Tamarix ramosissima,Accepted,Synonym of Tamarix chinensis × Tamarix ramosissima,8/14/2013
1.3,Valerianaceae,Valeriana hookeri,Under evaluation,Accepted,8/14/2013
1.3,Valerianaceae,Valeriana scouleri,Accepted,Synonym of Valeriana hookeri,8/14/2013
1.3,Verbenaceae,Verbena bonariensis,Accepted (not terminal),Accepted (terminal),8/14/2013
1.3,Verbenaceae,Verbena bonariensis var. conglomerata,Accepted,Synonym of Verbena bonariensis,8/14/2013
1.3,Verbenaceae,Verbena brasiliensis,Under evaluation,Accepted,8/14/2013
1.3,Verbenaceae,Verbena incompta,Under evaluation,Accepted,8/14/2013
1.3,Violaceae,Viola adunca,Accepted (not terminal),Accepted (terminal),8/14/2013
1.3,Violaceae,Viola adunca ssp. adunca,Under evaluation,Accepted,8/14/2013
1.3,Violaceae,Viola langsdorffii,Under evaluation,Accepted,8/14/2013
1.3,Violaceae,Viola langsdorfii,Accepted,Synonym of Viola langsdorffii,8/14/2013
1.3,Violaceae,Viola macloskeyi,Accepted (terminal),Accepted (not terminal),8/14/2013
1.3,Violaceae,Viola macloskeyi var. macloskeyi,Accepted,Synonym of Viola macloskeyi,8/14/2013
1.3,Violaceae,Viola nephrophylla,Misapplied to Viola sororia ssp. affinis,Accepted,8/14/2013
1.3,Violaceae,Viola purpurea ssp. dimorpha,Synonym of Viola purpurea ssp. purpurea,Accepted,8/14/2013
1.3,Violaceae,Viola purpurea ssp. quercetorum,Accepted,Synonym of Viola quercetorum,8/14/2013
1.3,Violaceae,Viola quercetorum,Synonym of Viola purpurea ssp. quercetorum,Accepted,8/14/2013
1.3,Violaceae,Viola sororia,Accepted,Synonym of Viola nephrophylla,8/14/2013
1.3,Violaceae,Viola sororia ssp. affinis,Accepted,Synonym of Viola nephrophylla,8/14/2013
1.3,Violaceae,Viola tricolor,Accepted (not terminal),Accepted (terminal),8/14/2013
1.3,Violaceae,Viola tricolor var. tricolor,Under evaluation,Accepted,8/14/2013
1.3,Violaceae,Viola vallicola,Accepted (not terminal),Accepted (terminal),8/14/2013
1.3,Violaceae,Viola vallicola var. major,Synonym of Viola praemorsa ssp. linguifolia,Accepted,8/14/2013
1.3,Viscaceae,Arceuthobium abietinum,Synonym of Arceuthobium abietinum,Accepted,8/14/2013
1.3,Viscaceae,Arceuthobium abietinum f. ssp. concoloris,Under evaluation,Accepted,8/14/2013
1.3,Viscaceae,Arceuthobium abietinum ssp. wiensii,Synonym of Arceuthobium abietinum ssp. wiensii,Accepted,8/14/2013
1.3,Viscaceae,Arceuthobium campylopodum,Accepted,Synonym/Accepted,8/14/2013
1.3,Viscaceae,Arceuthobium cyanocarpum,Synonym of Arceuthobium cyanocarpum,Accepted,8/14/2013
1.3,Viscaceae,Arceuthobium laricis,Synonym of Arceuthobium laricis,Accepted,8/14/2013
1.3,Viscaceae,Arceuthobium monticola,Synonym of,Accepted,8/14/2013
1.3,Viscaceae,Arceuthobium siskiyouense,Synonym of,Accepted,8/14/2013
1.3,Viscaceae,Arceuthobium tsugense,Synonym of Arceuthobium tsugense,Accepted,8/14/2013
1.3,Viscaceae,Arceuthobium tsugense ssp. amabilae,Synonym of Arceuthobium tsugense ssp. amabilae,Accepted,8/14/2013
1.3,Viscaceae,Arceuthobium tsugense ssp. mertensianae,Synonym of Arceuthobium tsugense ssp. mertensianae,Accepted,8/14/2013
1.3,Viscaceae,Arceuthobium tsugense ssp. tsugense,Synonym of Arceuthobium tsugense ssp. tsugense,Accepted,8/14/2013
1.3,Viscaceae,Phoradendron bolleanum,Accepted,Synonym of Phoradendron densum,8/14/2013
1.3,Viscaceae,Phoradendron densum,Misapplied to Phoradendron bolleanum,Accepted,8/14/2013
1.3,Viscaceae,Phoradendron libocedri,Synonym of Phoradendron juniperinum,Accepted,8/14/2013
1.3,Viscaceae,Phoradendron serotinum,Under evaluation,Accepted,8/14/2013
1.3,Viscaceae,Phoradendron serotinum ssp. tomentosum,Under evaluation,Accepted,8/14/2013
1.3,Viscaceae,Phoradendron villosum,Accepted,Synonym of Phoradendron serotinum ssp. tomentosum,8/14/2013
1.3,Xanthorrhoeaceae,Hemerocallis fulva,Under evaluation,Accepted,8/14/2013
1.2,Aizoaceae,Tetragonia tetragonioides,Accepted,Excluded,3/29/2012
1.2,Apiaceae,Heracleum lanatum,Accepted,Synonym of Heracleum maximum,3/29/2012
1.2,Apiaceae,Heracleum maximum,Synonym of Heracleum lanatum,Accepted,3/29/2012
1.2,Asparagaceae,Hyacinthoides ×variabilis,Accepted,Excluded,3/29/2012
1.2,Asteraceae,Balsamorhiza lanata,Under evaluation,Accepted,3/29/2012
1.2,Asteraceae,Centaurea ×kleinii,Synonym of Centaurea ×moncktonii,Accepted,3/29/2012
1.2,Asteraceae,Erigeron stanselliae,Under evaluation,Accepted,3/29/2012
1.2,Boraginaceae,Cryptantha schoolcraftii,Excluded,Synonym of Cryptantha sobolifera,3/29/2012
1.2,Caryophyllaceae,Dianthus barbatus,Accepted (not terminal),Accepted (terminal),3/29/2012
1.2,Caryophyllaceae,Dianthus barbatus ssp. barbatus,Accepted,Synonym of Dianthus barbatus,3/29/2012
1.2,Caryophyllaceae,Holosteum umbellatum,Accepted (not terminal),Accepted (terminal),3/29/2012
1.2,Caryophyllaceae,Holosteum umbellatum ssp. umbellatum,Accepted,Synonym of Holosteum umbellatum,3/29/2012
1.2,Caryophyllaceae,Silene hookeri ssp. serpentinicola,Under evaluation,Accepted,3/29/2012
1.2,Caryophyllaceae,Silene serpentinicola,Excluded,Synonym of Silene hookeri ssp. serpentinicola,3/29/2012
1.2,Juncaceae,Juncus inflexus ssp. inflexus,Under evaluation,Accepted,3/29/2012
1.2,Juncaceae,Luzula orestera,Excluded,Accepted,3/29/2012
1.2,Juncaginaceae,Lilaea scilloides,Accepted,Synonym of Triglochin scilloides,3/29/2012
1.2,Juncaginaceae,Triglochin scilloides,Under evaluation,Accepted,3/29/2012
1.2,Limnanthaceae,Limnanthes floccosa ssp. grandiflora,Accepted,Synonym of Limnanthes pumila ssp. grandiflora,3/29/2012
1.2,Limnanthaceae,Limnanthes floccosa ssp. pumila,Accepted,Synonym of Limnanthes pumila ssp. pumila,3/29/2012
1.2,Limnanthaceae,Limnanthes pumila,Synonym of Limnanthes pumila,Accepted,3/29/2012
1.2,Limnanthaceae,Limnanthes pumila ssp. grandiflora,Under evaluation,Accepted,3/29/2012
1.2,Limnanthaceae,Limnanthes pumila ssp. pumila,Under evaluation,Accepted,3/29/2012
1.2,Melanthiaceae,Trillium albidum,Accepted (terminal),Accepted (not terminal),3/29/2012
1.2,Onagraceae,Camissonia andina,Accepted,Synonym of Neoholmgrenia andina,3/29/2012
1.2,Onagraceae,Camissonia boothii,Accepted,Synonym of Eremothera boothii,3/29/2012
1.2,Onagraceae,Camissonia boothii ssp. alyssoides,Accepted,Synonym of Eremothera boothii ssp. alyssoides,3/29/2012
1.2,Onagraceae,Camissonia boothii ssp. boothii,Accepted,Synonym of Eremothera boothii ssp. boothii,3/29/2012
1.2,Onagraceae,Camissonia breviflora,Accepted,Synonym of Taraxia tanacetifolia,3/29/2012
1.2,Onagraceae,Camissonia cheiranthifolia,Accepted,Synonym of Camissoniopsis cheiranthifolia,3/29/2012
1.2,Onagraceae,Camissonia cheiranthifolia ssp. cheiranthifolia,Accepted,Synonym of Camissoniopsis cheiranthifolia ssp. cheiranthifolia,3/29/2012
1.2,Onagraceae,Camissonia claviformis,Accepted,Synonym of Chylismia claviformis,3/29/2012
1.2,Onagraceae,Camissonia claviformis ssp. cruciformis,Accepted,Synonym of Chylismia claviformis ssp. cruciformis,3/29/2012
1.2,Onagraceae,Camissonia claviformis ssp. integrior,Accepted,Synonym of Chylismia claviformis ssp. integrior,3/29/2012
1.2,Onagraceae,Camissonia graciliflora,Accepted,Synonym of Tetrapteron graciliflorum,3/29/2012
1.2,Onagraceae,Camissonia hilgardii,Accepted,Synonym of Neoholmgrenia hilgardii,3/29/2012
1.2,Onagraceae,Camissonia minor,Accepted,Synonym of Eremothera minor,3/29/2012
1.2,Onagraceae,Camissonia ovata,Accepted,Synonym of Taraxia ovata,3/29/2012
1.2,Onagraceae,Camissonia palmeri,Accepted,Synonym of Tetrapteron palmeri,3/29/2012
1.2,Onagraceae,Camissonia pterosperma,Accepted,Synonym of Chylismiella pterosperma,3/29/2012
1.2,Onagraceae,Camissonia pygmaea,Accepted,Synonym of Eremothera pygmaea,3/29/2012
1.2,Onagraceae,Camissonia scapoidea,Accepted,Synonym of Chylismia scapoidea,3/29/2012
1.2,Onagraceae,Camissonia scapoidea ssp. brachycarpa,Accepted,Synonym of Chylismia scapoidea ssp. brachycarpa,3/29/2012
1.2,Onagraceae,Camissonia scapoidea ssp. scapoidea,Accepted,Synonym of Chylismia scapoidea ssp. scapoidea,3/29/2012
1.2,Onagraceae,Camissonia scapoidea ssp. utahensis,Accepted,Synonym of Chylismia scapoidea ssp. utahensis,3/29/2012
1.2,Onagraceae,Camissonia subacaulis,Accepted,Synonym of Taraxia subacaulis,3/29/2012
1.2,Onagraceae,Camissonia tanacetifolia,Accepted,Synonym of Taraxia tanacetifolia,3/29/2012
1.2,Onagraceae,Camissonia tanacetifolia ssp. tanacetifolia,Accepted,Synonym of Taraxia tanacetifolia,3/29/2012
1.2,Onagraceae,Camissonia walkeri,Accepted,Synonym of Chylismia walkeri,3/29/2012
1.2,Onagraceae,Camissonia walkeri ssp. tortilis,Accepted,Synonym of Chylismia walkeri ssp. tortilis,3/29/2012
1.2,Onagraceae,Camissoniopsis cheiranthifolia,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Camissoniopsis cheiranthifolia ssp. cheiranthifolia,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Chylismia claviformis,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Chylismia claviformis ssp. cruciformis,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Chylismia claviformis ssp. integrior,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Chylismia scapoidea,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Chylismia scapoidea ssp. brachycarpa,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Chylismia scapoidea ssp. scapoidea,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Chylismia scapoidea ssp. utahensis,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Chylismia walkeri,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Chylismia walkeri ssp. tortilis,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Chylismiella pterosperma,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Eremothera boothii,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Eremothera boothii ssp. alyssoides,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Eremothera boothii ssp. boothii,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Eremothera minor,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Eremothera pygmaea,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Gaura parviflora,Accepted,Synonym of Oenothera curtiflora,3/29/2012
1.2,Onagraceae,Neoholmgrenia andina,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Neoholmgrenia hilgardii,Synonym of Camissonia hilgardii,Accepted,3/29/2012
1.2,Onagraceae,Oenothera curtiflora,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Taraxia breviflora,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Taraxia ovata,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Taraxia subacaulis,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Taraxia tanacetifolia,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Taraxia tanacetifolia ssp. tanacetifolia,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Tetrapteron graciliflora,Under evaluation,Accepted,3/29/2012
1.2,Onagraceae,Tetrapteron palmeri,Under evaluation,Accepted,3/29/2012
1.2,Ophioglossaceae,Botrychium michiganense,Under evaluation,Accepted,3/29/2012
1.2,Ophioglossaceae,Botrychium multifidum,Accepted,Synonym of Sceptridium multifidum,3/29/2012
1.2,Ophioglossaceae,Botrychium simplex,Accepted (terminal),Accepted (not terminal),3/29/2012
1.2,Ophioglossaceae,Botrychium simplex var. compositum,Synonym of Botrychium simplex var. compositum,Accepted,3/29/2012
1.2,Ophioglossaceae,Botrychium simplex var. simplex,Under evaluation,Accepted,3/29/2012
1.2,Ophioglossaceae,Botrychium virginianum,Accepted,Synonym of Botrypus virginianus,3/29/2012
1.2,Ophioglossaceae,Botrypus virginianus,Under evaluation,Accepted,3/29/2012
1.2,Ophioglossaceae,Sceptridium multifidum,Under evaluation,Accepted,3/29/2012
1.2,Orobanchaceae,Boschniakia hookeri,Accepted,Synonym of Kopsiopsis hookeri,3/29/2012
1.2,Orobanchaceae,Boschniakia strobilacea,Accepted,Synonym of Kopsiopsis strobilacea,3/29/2012
